Marca temporal,Carrera,Semestre que cursas actualmente,¿Cuál es la razón por la que te interesaría cursar alguna materia en el periodo intersemestral 2025-4?,¿Has cursado anteriormente un curso intersemestral?,Curso intersemestral que más te interesa cursar (OPCIÓN 1),"Segunda opción de curso intersemestral, si aplica (OPCIÓN 2)","Tercera opción de curso intersemestral, si aplica (OPCIÓN 3)",¿Qué dificultades has enfrentado (o crees que podrías enfrentar) al cursar una materia en intersemestral?,"Desde tu experiencia (o expectativas), ¿cómo valorarías la calidad académica de los cursos intersemestrales en comparación con los cursos regulares?",Justifica tu respuesta anterior,¿Qué condiciones crees que deberían garantizarse para que un curso intersemestral sea exitoso y justo para los estudiantes?,¿Te gustaría que se volviesen a impartir cursos intersemestrales de optativas del plan de estudios de Física y Física Biomédica?,"¿Consideras que debería cambiarse algo en la forma en que se organizan, asignan o anuncian los cursos intersemestrales? ¿Qué propondrías?",Algún comentario adicional sobre los intersemestrales,Token 
17/5/2025 12:09:37,Física,Octavo,Los laboratorios de física contemporánea se llenan ,Sí,Laboratorio de física contemporánea 1,Laboratorio de física contemporánea 2,,Ninguna,5,Me concentro en una sola materia y eso me permite aprender rápido ,Descanso entre horas y que los alumnos participen en la clase,"Sí, me gustaría y los tomaría",No ,"Algunos profesores comentan que en un Intersemestral no se aprende bien, eso es mentira.","###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""07098b8787ee34cba746cd359b02054546a6384ec14d6096a6e5fc7522b1c185""}
-----BEGIN SIGNATURE-----
izg0YZaqqc30aWh+HpO/J1t6OINl6RJvJeJnICwNyMVSRNJyqEAJbw5LWRyEJg6y2FNM4o1THkJU/TvtI0e3vVTnhNrKLOiesQxQtprsSreoj/3QfPErJjTypw6j2BjRaFAxtP82IqKoMkHRCegg6tOoKd4hNB0rdHK4FyBzhCJSJCH6lth5bdsZUkgEAV/kfZOlMINpTHXJ2vTci7UAqgcBVek6baQ/172iTK4jb/nC6fxsF6MbxyLjzbUIzEZUvHgPTGL31tJLSXQ561nk5oLw/79aDcMXd7VY8yIEIhzihDtyMCanPsf5+CwlKnrhNPh5ecqbr6QnYVQKBJI5YfYazmCutfgZWRxf6G8ESnBkb1kr3hHseKp9GPh9N0XMxFUyvpbhm/l2FU/xoGosWDZ2Qb+fb9Z7lgIs+HTJc1GcweWHV+Ij24gO7kMGk/WozhKbm47+4GrBJcwgV03BnK1VL9QXpf/3NakkqeRO0iVaAxIcl0iX77btMXH5kScu80KwVMkYMDbPewEI1xw7bhhfWJdupE/NkUkiyxe++2iafJqXMsw4nOCqQD6ShHZeK9pTg66QSWLQurOgk4oW+2GGaubVwjYKAoCKkqyCG92tTlqLjuPyDFw5taf3rbtKFNuINNQZbxibe0xkaTS06h27tCYPo/kYI+cF3BQZmO4=
-----END SIGNATURE-----
###
"
17/5/2025 12:09:44,Física,Séptimo ,No alcancé lugar en esa materia este semestre ,Sí,Laboratorio de electrónica ,Dinámica de medios deformables,Física estadística ,Puede ser pesado dependiendo de las horas,3,"Algunos cursos se vuelven pesados, pero al mismo tiempo, el tiempo dedicado a la materia diario se incrementa y eso ayuda",Que las evaluaciones sean acordes al tiempo efectivo del curso,"Sí, me gustaría y los tomaría",Que se les diera más difusión ,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""e83723232c7594a7e5e3beb7665481e5c849e14268242b253795bbbdb224d67b""}
-----BEGIN SIGNATURE-----
zTwTdelwKrcK+8anbsedHrFxzVkDgL+I1LmDmQPhYoPSojDMdJSiNhBnTns8wCjq0VxzxBrI5gUR2NV56ldB8a8sb/An6XJTjvpEydyFlDaioV1DDqLsBQUOYtBWitspb8t98AoUFVRdwsL08SuwO/37CcG9I1+uBZaEZ8lkNMJExnhVcc/AAuSvsnDLWPpNNCgqO5FvDz9eTtVBjGwH4Z3j0v7UbSiNp9+E9OpsjBRvlHrlfHdMJP56d85u34RzSPyL3mXiaaKk7/Sx1S5LUQgeAL2mUExLmpI/d92a4lbWvkavSd9cEfI+tYBTbQkd44q+Cx0ZP9ESpkwZYTPYpackxY9zcZt964RoD2wYNzF3fXkR8A+9sLzGRdcIxWszEpgzFNgtZJTtodsC153qzWN8yLflZq3b/8QbESinOvHv0lexR182y4J2q3quOGM2sTNoYM4zBCmcPuZBb0fd5WzLykZDJfi9OGBFhLIMzwOpyaOEK0kAsK4TZ+tQJU/kIENn1LFJtrC5xe7k5WUkly2zWyvV1jfo4xin2uhiZ8JvdsnmPm9vi2qQeOxxZu0Z9/9uxlmH9IDOeScoMzs/fnGxSYG3y3EDhBTqMiXX83Omyl+YpSddRgI2AQQfCGOu/hqEwtckLpmhc+wOEN5fuvYGL708C+VXyQS1hs1SHNg=
-----END SIGNATURE-----
###
"
17/5/2025 12:09:48,Física,Sexto,Obtener los créditos suficientes para empezar el servicio social ,Sí,Laboratorio de electrónica ,Física computacional,Mecánica cuántica ,"Ya estoy acostumbrado a los intersemestrales, así que no creo tener alguna gran dificultad.",4,"Para los laboratorios, sueles ser una mejor experiencia que en un semestre normal ya que se puede dedicar uno al 100% al carácter experimental.
Para las materias teóricas, solo se echa en falta las ayudantías y tener más tiempo para digerir los temas.",,"Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""c20bb55b5f9a7cdebb23ec3af6bf5efa13ba5f9f4c8fd96faa34fb8977b5e26f""}
-----BEGIN SIGNATURE-----
yIKnGTA3d3osazEmrAtHLqemc0Au5/ufVl15CZ2TX5Y55Qg4bDVTYZVukWNJ7klztYRt6fhnek0sKisA9zvS8URZ/HcOkEiASi23HnnhpEG79grfH9Iad7QQ/SaXyIlkuYWovwC+ih4jKHWC6D+F6eihM/JJp6z/WGh8efg/OktLdI6o5YIgFddVhlOFwnZIuiBws6CcwjtidvCoKphzducwQxaKiUxTFjIJlP8O+jQhs4qvAPhIonkq3orGWjUfYbMxT26LyCkc0vVhCimEpY0+pI7c/tXFRHE30dQol+9EsP+y8uZGywkS8be9aWJwjwxNE9HioLsb4XVO05BPieN0QlSm4/do1QhmSwcdWLnCvjDpXsdVoeKa9AURLZ+onPAeZ2q9deAPVNhMiQAkwZTCGb+K/DgYpRFiRuPH1QLQjJaxCLWVBbWRv2RCAk0M+RMS7paztbwoL4oidJkk5uiwwe4yUUlRLKXpbqaieWcPtQiGGPt0udTshP6AbkY+I974hu47JXNSv8vCWZjl1jtjXy749IyzvJTWZMDWYHgouCKyyWSOjzJqK4NSuOK+i/hR8agM1hB9Zl5EJOU27dzYIcQUzHdS2ytY8BvvG5Z8/OSnrqNwqAkOgQQHBFPur+6Qo5VIOVzrvTwXJ5UIYkK3X+xOdA762hgwM4gylO0=
-----END SIGNATURE-----
###"
17/5/2025 12:09:54,Física,8vo,Regularidad académica,Sí,Medios deformables,Laboratorio de física contemporánea 1,Física estadística,El tiempo de cada clase,4,"Se entiende que se trata de abarcar todo lo posible el temario de un semestre regular que duran 16 semanas en solamente 6 semanas. Por ende la calidad con la que se ven los temas a detalle disminuyen por el poco tiempo, pero creo que es bastante bueno el esfuerzo que se hace.","Evaluaciones que correspondan totalmente a los temas visto, y que sean en tiempos razonables cualquier forma de evaluar.","Sí, me gustaría y los tomaría",Que se hiciera una votación pública para que el departamento de física de guíe en base a los resultados.,Se deberían de abrir más intersemestrales de semestres avanzados y no solo de cuarto semestre para abajo.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""87e206ed5b27d712ef8dfbef61526b24b8238837e680058ce6c92739535f1cb0""}
-----BEGIN SIGNATURE-----
KLpltkOEkHIPUEHWsHSqd7zRxA+03I+IKgBUz3pUo8dS8jbV5ThBulpeUs41h2KykmnZ7hNo25/xvdMy9maJfWWv5Pu7KkN//mK4zsD/nzrx848F1HBwl19f6EAb2MmXgkTZ7BdIVaUAMRsDsrVFW9Y7SrdzXDbMC9h5Kcm8YQfQDnmgJxoKZFcnzQMDdY0tdgJtsmh8ivZuL8NZ+aVt2rGYptZjM53VymnIio6rbhBNKzkZCe+Mys+iCFgHJsYNyPPfPcR4iSWfw91GIo7mfQvForYWY/2MYjqwjYhy6rAsfiz5y8zdd7NH7/urQHMkTCOoSsUK0pVsk6XDHKekY3ppIpbC7JO7vb5/WDFNfXwezXIt88ibwqQA5Iat80diiOh806rklu+4kuTucHjijP6Iyc7gl8NBZKJ7ZBea/H2r+kokLSbqWiFOYHlQo1JCTde9TEDrtTtqTILgsXLvFcc7kYa4rNaNsYGLWE76URSVPthwWgUz5TTDrTCDRdBfVhmaFj2dfG8A08Fesw5cT8318QSr7BQagP9Uj5tawHTZL2iwFzMv09odiNR4rFWdqPfheC7L5sjWRW1btss3Gzpp9SBW6coqZYqbnmmUmBPXdK4UDv5E2e/g2uCwOHqSGyjaivQqfX1INVESM/V9VaR9mtgaG8FugkUsm1Prj2U=
-----END SIGNATURE-----
###"
17/5/2025 12:10:20,Física,Cuarto semestre ,Para quitar carga del semestre y adelantar materias ,Sí,Laboratorio de óptica ,,,Que la carga de trabajo es mayor en un periodo de tiempo corto ,4,"Aprendí bastante en el curso, pero por falta de materiales podría haber sido mejor ",Que los estudiantes estén comprometidos así como los académicos con tomar y dar un curso bien estructurado que logré transmitir todo lo que necesita ,"Sí, me gustaría y los tomaría",No,No,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""beed5492fba7a6244d5265fb8bb386031489ba2a5dc8c7d7ff97544b073a4cc6""}
-----BEGIN SIGNATURE-----
hX0sNuc2k2jl9LnnSJIHbovkYzqVq6btrjUwi6iUGnnSGN0KETq6b95hfMQDsagEQQvf6nRAQTS7xA1kl4ETJUmLBdAY8a3NQBx52ZsFYG6Qwi9ehzLeYLuIOhyDHraX1QfIRECkahHwn98++Nxjg1T8aleV7zXhT5prmmGVhEJhotJjK9jl5SgfxSlMAr7ChO6cm+o+2WU1+iFj5JYJG8wYCUE7whF03/RT/8Vhl3Y41L6OD798KSkMxRXTmNqaFVdIY0zzIvj9MPl7vusuvwpoM1TbDD0Wef0fawor9sksPMY/Tj0EXj/ueooUEKEl2H0ViLUgSw1zFsbMtxCh9FbzF8aDbaBR/7b0fW2FzJErTg5PlQnJq7/6yJdochxGKQQjlt6cYhVMOlsE9zykJZjPgezyn53rcQ1X8ZuNrgJEocDHGg0QqVhHMOgaM5mvAQHsKU54VHhvyNsX5e2SppDM0JuJcoCK26VrCdKrXkdy9C6XT7Gbz9il07Oi1v07faYsHmRPndYv2bvMittptZmkWO5bXsxUt4cDvfL7Xzxy4SvU+Q+kFZ4g486xrAUoA301FobEVe0H6DLGvDf2ygikecuYSCvvme81bLZPZIJdOsX+Ff9M2w9eZAOqYApH+fVCqEDsu6JjbDIaTAMY1nAneJyIvBaTf2KS+oTO0v0=
-----END SIGNATURE-----
###
"
17/5/2025 12:11:05,Física,IV,Evitar saturación de materias en mi siguiente semestre,Sí,Laboratorio de óptica ,,,"Que el horario fuera desde las 8:00am, ya que vivo a dos horas de la facultad ",3,Temario limitado,Horario después de 10:00am.,"Sí, me gustaría y los tomaría",Flexibilidad de horarios,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""8159a10246ef4f7736bc6341a5642bb764dac3ab39490ad1578cf00714957706""}
-----BEGIN SIGNATURE-----
KHuRb8QLO8XCUnyC7M7xFKTu/LFVnpzvCo0tuiORjWBLkYGJ/VR6RYaa9MsTNNw9iVbzIq+wMM4Dl/uT2qya+FI7nBeEMyTHOfwKJ0CNw+cgVIquqdpBaQ7O+y1wrg4TmpbcY3EUK+7D8v6KuhDzY+9m9w/S92LbWCACKs6NN1FDOh2dIcA4Ql9Eb+ZwwRpV2nrpP3kEZUycubKxl8tMiFTVohO1dyXMiopSJ2Z9yGLXEPehxsOcR9CWDPD4YA40qR8dghznM2HJCcWEC3l5Gu4YAqMBu1pzoegp/zX6Ii0gmgi8bq9YyatADnUUsvA+GqcpWupcuFB9RKl11WmotYl0DAbuJXgv4aWMM47sz2mUEQ7PG43cxjkIaZ3kb7FT3q+/ASISVR/P+BToKZF3zmoU0N7ujBVvFS9D1f+U4J2Z1J6FuofqGqTNI9oBtK8iN2nKQxJM042Qc+7xTpI5SuZ/KbRWlVLTYfGeB2aRB4ZjGgQzhQC8J3d6LuIwo4Y38zdbRACR7SFAvSmZ5yBfKSnkpkfebTySlOph0Yk/N3yZRarrHT6wg90MnKM9m3J8YTNlOY/YrizhcdNqeSzTzDBIP2In32dzR9gTIeEsVXqqmwR/w2QQiqk4KqU1NUv2NrfHjigrQZWeDesEt3hGFs5NUtVryCfsxvGVNjxJ8Ns=
-----END SIGNATURE-----
###
"
17/5/2025 12:11:37,Física,Cuarto,Para ponerme al corriente ya que voy algo atrasada con mis créditos ,No,Electromagnetismo ,Laboratorio de electromagnetismo ,Introducción a la física cuántica ,Me preocupa no ver los temas con el mismo detalle que en un curso regular,,No puedo opinar al respecto ya que seria la primera vez que curso un intersemestral,Suficiente tiempo para cubrir todos los temas ,"Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""11a325fe2d2e7a78f67d39e3151324c97a84c84b30d9a3158a64dc2eb141a1c4""}
-----BEGIN SIGNATURE-----
qhGx0AcVQXM0kNWYIfztZg2O2zHMsXqQyzTLihBBaPT0WOiZwd2FtZPEit+CmjupDe+JSeWbERE5GJZRdTXRhsgiVZpFzZsxKZmoGuWT5r/VT1VsgTlFMMRdZfP4bU8TF0IljcIUIK9o0n2QR69TEYbboJQcbe6SA6tGTmkyIt77IKIbBT+ZxHYbklh4fhIsp6GStxeQb+Al3V5RHDE2/vtX2QGM41AAv+Hxt4ukfZExRsfmSFSHkUCt3R/FWj54ORJJahdKhJqLZ/ZCLcoFsH+034wbDOE469FglRectq5snqCOsnN+9uHqKQv1yLSqh2WmQ64P7M74L29qUaQjNgp8TkdL0iYBhk4vAvw2oaovbJJUG4c+mrj/aeawJ2Ad/C/Sgtuu6BfkILfFgNSd4258DhyE8RrXAO4N/0rmINl4tg8GHKYxLg/rYy3NLhsJEUIcqu4iC1HikrjuV8obEgVmKyZnvh8MGdX4iSZKoMJ0F9CSZhxPWxvcDr5YVUDwiRUrd+5JQ7DLGYHHkNamUgVSaY6NJbdlTd/6B9dUzCw+50+6afakApcGTIEgedpFbkNYU1fIjiGjwbMY7it8Mz7v4NAdP71/SqecH+CPJlcbvzeTdzVUQ202scDZ5WuS3QD5AjjhtJVbivW2vOjcwmrTuo9wvCJh5cx1a+h8OT0=
-----END SIGNATURE-----
###
"
17/5/2025 12:11:54,Física,8,Terminar mis créditos ,Sí,Laboratorio de física contemporania 1,Laboratorio de física contemporania 2,,Al momento no he tenido ninguna dificultad ,3,"La velocidad de los temas es posiblemente el mayor reto, sin embargo creo el profesor puede hacer mucho más ameno el curso.",Que exista tanto apoyo por parte el docente y el alumnado también apoye a que el curso sea fluido,"Sí, me gustaría y los tomaría","Entiendo que existen muchos requisitos para impartir un intersemestral, sin embargo creo eso también motiva a que no haya muchos cursos. ",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""c197f3ce8bbb2ec2b30f2d3f9e32bbd6d70603b44741d0a2da72f356c59a09b4""}
-----BEGIN SIGNATURE-----
IcZv9/K7aGQCabJ34POuaPiLmUHdXAVb8rHWigSkF2DrbOtohPLJQtlu2L1wHC85UhRtbNqQIdhauu1PiyG0VhfefaaNgPuRT8nOn6IBKvn1g3gUU46aySXLjObq86Ja6u4nROCM8+mxamBZi0UVJmqOhN/5GHbWrL8HVUgVddyfrPCjrLkdumiPPSY8vF9ROWh4HuIyPvFVFywLunrGBybfNxno/yCZeEASWdkPqdJq/kTTCY5f28pzrNIGxjYTf+nsKAZR1y3DccvOjE7C/n5R11YcRqSyhzlayNmYNV7zjMcMxKKvDd9XlW/kuTr9O5IHDNWLxE97S/SGIZgWdCHxjMCT5HZfMAXuJBkHetkpCwFAwW0XfbhYzSa4JryKvxxLrhW3M5uM4H9CH2+t9TYI02BJrOFtrzxgVDqqLHKHZsSAZu8Y5ry5+q4oH0hjwWbFIymIRIfnvK2wNLnZEeORjN/GP07vVYLUN+nrt01kso5pzBn8jtkLwwzd4dzllq+0R6vJMw0cphN5l5KjZOlNVd1Hdv//LuHUOXyfLomkY20NYgNTyZTQQZMmBNgKPqaFHv9rz1XeSZU3us9w+oUft5oyo1VfEemjIhwxhH4dLGHPji7U09GguV+3/ek2mgXfPK/R+Rcmt2zdxTUvJNgt37d/08XaFYN5ROo1F8U=
-----END SIGNATURE-----
###
"
17/5/2025 12:12:36,Física,"Sexto semestre, aunque ingresé en 2020",Acelerar mi proceso de egreso,No,Laboratorio de Óptica ,Laboratorio de Electrónica ,Dinámica de Medios Deformables,"No más que circunstancias personales, nada que me obligue a abandonar mis estudios ",4,"Justificar una perspectiva de algo que no he experimentado es difícil, sin embargo, creo que si no hay el tiempo suficiente para procesar las ideas el curso no sea formativo como se esperaría, aún así para materias que no son cruciales en la trayectoria de especialización del alumno es válido el buscar una manera rápida de aprobar los cursos.",Un tiempo razonable para las evaluaciones y una rúbrica de evaluación flexible ,"Sí, me gustaría y los tomaría",Nada como tal,Apertura justa,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""12e274111a39cd6656e0d4718c7b057c3feba5f137f9d7518a16e7ec1921c477""}
-----BEGIN SIGNATURE-----
E64fDpt1qnnSKf9qWU0jPo+zrPrhN5I5t+k3fM2z+gvd7uT5e5jqp8x7HDvlHfiqfd6i62vPNIWu3gpFWrGRfpFXXm4akMvDw7ImChbVSRT+eJ0ip7SLQr9GQqJtv4QncnyjF6vJt5l+p15A6cvqxlTQVRqZaqp3V2anubctIAZoZvYJfNEgjF7xxSRupXxhE3U/ESoe6VMXkbTwnFVz4h6g0HU7/SkQ4zvGOyr1rj0pe2ZnWOJq/vTOKbkceJDD0biSc+RZVViYTm/VEnLOmqXBUoMeWXq/U5oap37AbbwdcwE2RdNR8o9ffzzcBRFt+Yy+6033p3ZKm0pZ24bRzFEmLzBCmpE82ZsfPhGUa5emZgQbiOd3seyxlEXkzxFXdse7crwFmqWs+hwwbu428FTI1cK1jY7aQD5trGCj1grANJE9HOuihTse/iIgm9Q/ar5qLJ3JaFEUCnQgx8w1pAN14z/N533mfHIpkrnvhYMuq6dG61n7nbC24mIo/1ISF/J6fM/+QBvruxbFnowpbczdkyxx9bLMFPhs4tX4rPbUGyEz4a9FGU1Z9u8HXBhsjYzPFJfc7CVScfnY8RT0c6fwFx6UE9HUWRKrYOj/dUIQUfOyr8+j5wERIGzQI1ZbAfWC4EhrqWVgSbcQ1c4TGvqoHA5ABq7Rt39UBljwXIY=
-----END SIGNATURE-----
###
"
17/5/2025 12:12:44,Física,Cuarto,Para no estar tan resagada ,No,Laboratorio de fenómenos colectivos,Álgebra lineal I,Mecánica vectorial,"Tal vez la carga de trabajo, pero cuento con el tiempo y la disposición",3,"No es el tiempo ideal para cursar una materia, pero confío en que los profesores hacen lo que se puede para cubrir una buena parte del temario.",,"Sí me gustaría, pero no los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""65d48f9a1c8dad175fa3ff3a446bd9bae74122bfc676ca5deb8bc8bf99029158""}
-----BEGIN SIGNATURE-----
s94HU0FOJ3Rtq2zRbWNwgGw2v19HdHsugrkS8szWGvMXF8vEOhiFxvBX6ZwJYqGxaunaDRwKV+upFR/ghS1lsPqJimG8JryacbGG9PnJq22vYqRAGxg857pQrMfrv3ABFCDciSYmLe0W/l4zdnWgG7XZTi+Dbhy5rsNWSga5qxP2dwFJoYXy1SXHKYZ4qP1pGIZsJQ0nGFyVJgZAxGxCV3PbSNFkDW2svBh6jBzP7txIEMqzUUDbYfjvhYXd+rPY1ryC353feWxTmeLHiqYqItf6hVJXKqhREnzSEIIvl0VtiwuJNvu1LYt0hQfgUZInTq/IPNodwX14EuLTF4J2hyTZFXiW1CesUDJ9gwqIt6Vly8SQqfY5HR9VRTgvTBU9Hbc2dionx3So3Sq+ZxZlth3EaVivnQeTItGJARil/rYsvilNv0hjWBpcbVFelkH2rC90U201BJwUbVpKGu3B5XoV+YyDlSaX3e5KmlNabUDttdcJ+k2Dkj6665oZ4LDm9QaYrtVLF0FhJwwkVaEktpXe9/nCfM21JMAXF8IUyy/CqCqox0O7i36bRlj/t51RE3Pe6A+CIvJrVKQaOoujZdJMxVUx+DseMx8EBZxeW1gH/Ps5uqUmSTMm2NYeNOKH8trQjsYKXJzWL0bJ50RXHLjQuA01owUpmkBOaC77nP0=
-----END SIGNATURE-----
###
"
17/5/2025 12:13:27,Física,7,"Pasar el laboratorio de fenómenos colectivos, el cual a lo largo de los semestres cuando trato de meter ese laboratorio no me lo asignan ",Sí,Laboratorio de Fenomenos Colectivos,Laboratorio de Electronica,,El tiempo de traslado,3,"El curso intersemestral que lleve fue el de laboratorio de electromagnetismo, en este curso la verdad fue bueno ya que se tenia más tiempo para realizar los experimentos y a la hora de realizar reportes no sentías tanta presión para hacerlos ya que no se te juntan otras materias, lo malo es que falto un poco más de tiempo para completar todas las practicas que se tenían en cuenta en un semestre","Determinación tanto de los estudiantes como de los profesores, es decir, que ambos sectores muestren compromiso y responsabilidad a la hora de tomar el impartir el curso ",No lo sé,No lo se,No,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""b167e8237c0425720c4fc75dd519fce69955ca28ce488f507601bad58bcd52fd""}
-----BEGIN SIGNATURE-----
NhdeFZGpBJXcKcJF44UHtl8GMUj6UHigB4I4mYtFp4fJr8iYeW8aBYAD2zJJ+J2pITVJ7jA6M6jy6PQeX9ygR0uR68gq93UHS2GA1u2RuFPg6Iksm6EQHL7b81goezi2nQLodI5VUTbyNgBhqNalEek8MXDZ3kgMXrr9MgvPLdDFb54RqbRvnURRV/UcyV9jKeN5N09s68pVp3HtWGKFpvpJspW4ABOEuC1A8NvC2SWn3WcjctpscY+CxzF2rcyg8n3c6yApSfOanxuIo2hwINnbvwVfu+Lq+OJ690D5Uey72GNr1EzwBiCEVuQfjg5UTOPNFOD32GBAo+bhQw1X3KqomI0xlJPKcxm35rcPbfVRL88ubKLwzlehOViNuuMek+R9/I8tx3dUGtKF/1m9lllSSr6G+uuKt0PmcyGAVoYCmiKCUANwxwz6Bgf4D5uUnwp1WxrI1WW7VzNonSqGmWLYKI9rk79cezrMK/APSVlVHIVF6bHf76tN4TjCpBoMlIzm87SuqUqqldGJo6NinW9rPxSK663dDyi+1bi9pjeU3bBhgBOZpwowO/0eR+q46un9goznnh9+Gi5t6dKGjLs9Zw5G0C+q1QSaH7qLLbS0YwDvEV0Sg3o6wuMTRaztHlROqzcs4XACmELv2aOtS8aU1tPHWmG9JiEB2DX/P44=
-----END SIGNATURE-----
###
"
17/5/2025 12:13:32,Física Biomédica,6,Para tener más tiempo en séptimo semestre para la PPS y materias como el laboratorio,Sí,Introducción a la oncología,Mecánica cuántica,,Posibilidad de traslado,4,"Los que he tomado han funcionado bien, aunque sólo han sido de idiomas.","Horario consistente, en línea, y sesiones no demasiado largas","Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""aa60742d3a56d3e8f1d9925052f72e2308626443238a2fad9325de4687c8d3d9""}
-----BEGIN SIGNATURE-----
Z4EdB9k0KLinRZCOSg755WUdLwM7hpvSpPbRM7h7m+go28ttHJXcLgjsk/5vxQrx0U0iiiiIScwzAGO4Ic5haKTwdIhC9cqPoQp6hZybozdhAR51Vq23kRiCNrm+kpGc1pEfYp43LPRUP+XV+09T1+T896f3Tt/KixQnBqydru0VkY4f66XSSN8OyWTqEC/oELNRoAGcL82iD5jXQMckg5DwUXKB5rPekuwS6GCEcHE+6y/3YHOtVh3RHR1JJLyiHRCO2IE4tk+OvTalSOxhBaob0rKQJSekJutElE+3PGK2nyYToDgmJHD8YmDGokbG8R/uf22CFDuDV6DyIVb/Ua1C4Nz7uoOZfmmQEYoVheoKc7MpDTqKOXOPlxrswX2Uenp3M8cX8VYXuPLZH5WGrk6n2A/VYPkZLlPoI2TmrosLigq6lvib7K1s/+e+a83n99JQpiAfLehHkWWezbDsJovvVH92fquFDfUAtdt7bqZxhejhtY/PYUSO3CUUmNvKTZ+m/GobaQhaj/TS6rEz2HiE1SqtK3sTQRy9GfwJnrskCQF44wRxuq4jCJqyUTt9BCCDkIJREIGCB5DNXqHtnOgDEl687Ljagy26jfkGK3edwH3tU+dHE+vj8tXSPdZM39nTMV5ikNr0iZeTPh1oVEw8bWUcBYyT6lRn/msyorg=
-----END SIGNATURE-----
###
"
17/5/2025 12:13:36,Física Biomédica,4,Regularizar mi avence y poder aprovechar el tiempo de vacaciones ,No,Fenómenos colectivos,Geometría analítica 1,Morfofuncional 1,Ninguna,4,Los temarios se resumen pero incluyen lo imprescindible y te dan la bibliografía necesaria para complementarlos,Opción presencial con respaldo virtual y grupos suficientes para que se pueda explicar bien,"Sí, me gustaría y los tomaría",Que consideren las materias que necesite la comunidad y abran los grupos suficientes para la demanda,Espero abran más materia y no solo ingles para los biomedicos,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""eef9408e4ba54403ff751fb1d3e170019a40173912c13fd151a771542a7b000f""}
-----BEGIN SIGNATURE-----
JA6SQpvy/QH9oc+wUs8ao9EjB1aN4iIyvwth+e7476tKCzubVkiu4+uIt7/tg+c/jGPWXsPOS4SvGs3gPOki/F++H5qHuZ0GJf6j6DEvpC65uLAey+K2bigMTOWWqniU8EVI4fZ+e79/dqn0YB+3dnQF7fVRjuPVnGtDAI0J4MWZkKU7FZySX88kaFRq+QH0VHEoNcZF7er+AGmjwXa4DJkGdJV1jd9813Q50sKoqQDxMuJxC6kquI0Cwr0BJxT8ozjd8u8VRAC3EmKry6YkiDf9c63GrKl73EO2QEflCgiAWdz0N5NWlp0QgD9NWUz7LJncDUtzCJDZjwNzrfd5U72ggNzkGTIxhNpFrTnfU+RfHmCq1XM84XCDYps/M0zvF771l67dBQ9seVp0HnsyRSdXP0+5irGMlXj+FhZgaJGRwFeZP7N1qlqh/L288RP7c9PneiTxCNsz+3/VefWyA2lk5e5vLU7JmqQekrvvy3Y+9UMuX32Il2zZfEskWyBypGI2F5a2OPCrpggw0r7G/1ZQdVr3ZBuO0zQK5809Fp/u/1KBJNZAIEJAXXqHtnOuOvvyV2TjdIQ0QpQzc9sgrcjMDLGazkfiXU7hUJmSWoztU+15FGa6xrEmVrCmODphxW/vUqiGoVkQmlMWP31Vg8DQqAH9dAdPqmJ5xp72QYY=
-----END SIGNATURE-----
###
"
